EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8   ActualForce  EstimatedForce
 -15   -20   -4    1     1     2     9     13   -28.02  -24.962439
 -15   -20   -4    1     1     2     9     13   -28.06  -25.456387
 2     55    4     0     -1    -1    4     -4   -28.17  -25.902248
 0     -23   2     -1    2     2     5     8    -28.16  -26.283491
 0     -23   2     -1    2     2     5     8    -28.20  -26.577021
 13    32    -4    -3    -3    -6    -9    -10  -28.15  -26.763628
 -24   -1    6     1     4     7     25    8    -28.16  -26.839361
 -31   -3    -5    -1    -1    -2    -12   -7   -28.46  -26.820375
 0     9     7     -1    -2    -1    3     -24  -28.62  -26.729937
 44    32    2     -7    -8    -4    10    14   -28.57  -26.584034
 44    32    2     -7    -8    -4    10    14   -28.68  -26.405573
 -13   4     -5    -1    5     2     3     -5   -28.90  -26.227297
 13    20    15    4     3     6     30    -12  -28.88  -26.063910
 -5    -14   -3    -3    -4    -7    -12   -9   -28.84  -25.906321
 41    25    9     4     0     6     15    27   -28.88  -25.745312
 41    25    9     4     0     6     15    27   -28.84  -25.595167
 -15   -18   -7    0     2     6     -3    -23  -28.85  -25.485296
 30    8     -1    0     -1    1     -3    9    -29.08  -25.433643
 30    8     -1    0     -1    1     -3    9    -29.14  -25.445477
 -22   -33   -6    1     0     -1    9     13   -29.22  -25.525862
 -16   -2    1     -1    0     -6    -16   2    -29.16  -25.674944
 -31   -15   0     3     3     4     5     0    -29.18  -25.885248
 15    1     -7    -7    -7    -7    -5    2    -29.37  -26.148458
 0     -17   2     8     8     6     2     0    -29.39  -26.447809
 0     -17   2     8     8     6     2     0    -29.54  -26.747414
 10    20    2     -6    -5    -1    13    2    -29.60  -27.004635
 -37   -4    -2    -1    2     3     4     -15  -29.61  -27.196445
 -37   -4    -2    -1    2     3     4     -15  -29.56  -27.333002
 9     -16   2     -1    -3    -3    9     13   -29.68  -27.440125
 27    -10   -2    3     3     2     -8    15   -29.50  -27.531157
 -4    -10   -5    -3    -4    -3    11    15   -29.52  -27.604612
 -25   21    0     0     0     -1    -27   -23  -29.79  -27.654333
 -19   -6    -6    -3    -2    -4    3     -2   -29.83  -27.678322
 -19   -6    -6    -3    -2    -4    3     -2   -29.62  -27.680908
 23    -2    7     -4    -4    -6    -14   10   -29.58  -27.668268
 23    -2    7     -4    -4    -6    -14   10   -29.53  -27.645201
 -33   17    -9    -3    -2    0     0     -26  -29.51  -27.620110
 2     -4    -5    0     2     1     2     -10  -29.52  -27.600502
 1     -15   13    4     3     -2    -33   -8   -29.56  -27.578798
 1     -15   13    4     3     -2    -33   -8   -29.78  -27.530132
 32    1     5     0     -1    -1    -3    14   -29.61  -27.434151
 -13   -10   -2    1     1     3     6     6    -29.55  -27.292198
 -13   -10   -2    1     1     3     6     6    -29.72  -27.115446
 -28   -23   -3    3     3     0     -9    -9   -29.70  -26.911955
 -28   -23   -3    3     3     0     -9    -9   -29.67  -26.693836
 -3    -1    -8    -3    -2    -3    5     -11  -29.62  -26.475124
 15    2     0     -5    -7    -3    9     3    -29.87  -26.255312
 -9    16    -10   -6    -4    -4    4     -13  -29.85  -26.022614
 -46   -14   -6    -6    -6    -8    -3    -16  -29.76  -25.773914
 -31   -8    -8    -1    2     3     3     -18  -29.84  -25.526455
 4     10    -1    0     -1    0     -3    3    -29.77  -25.304625
 -17   15    1     -5    -6    -8    -6    18   -29.56  -25.111320
 8     9     -3    2     0     3     -8    -3   -29.53  -24.934492
 8     9     -3    2     0     3     -8    -3   -29.64  -24.761696
 16    -10   4     2     3     3     10    7    -29.50  -24.581579
 7     36    2     -3    -5    -3    6     6    -29.56  -24.387737
 43    10    -1    3     1     0     15    -1   -29.73  -24.181204
 43    10    -1    3     1     0     15    -1   -29.78  -23.983181
 -23   -56   -8    0     0     3     4     -7   -29.63  -23.830156
 -13   -28   0     -3    -6    -5    -2    19   -29.42  -23.744644
 -16   35    3     -5    -3    -2    2     23   -29.35  -23.721756
 21    32    4     -2    -2    -4    -20   -5   -29.51  -23.747278
 21    32    4     -2    -2    -4    -20   -5   -29.47  -23.810947
 6     -11   2     4     5     5     10    21   -29.46  -23.905745
 2     32    5     -3    -1    0     -9    -16  -29.50  -24.014870
 22    5     -6    0     3     5     14    -13  -29.54  -24.116026
 39    -18   -4    -4    -6    -9    -12   0    -29.48  -24.201731
 -19   -21   -4    1     -3    -3    7     -7   -29.27  -24.286087
 5     2     -8    -6    -3    -2    5     3    -29.30  -24.378798
 3     -3    5     2     2     -1    -17   -16  -29.35  -24.467674
 -6    17    1     -2    0     -1    -9    -5   -29.34  -24.530167
 -6    17    1     -2    0     -1    -9    -5   -29.34  -24.547428
 -10   -21   -9    -2    -1    2     -6    -7   -29.35  -24.508833
 5     2     -3    0     2     1     8     -23  -29.32  -24.409477
 3     1     4     1     0     0     -3    13   -29.31  -24.244829
 -84   -9    4     -1    -1    1     0     9    -29.32  -24.027096
 1     -5    -6    -2    2     5     -7    -2   -29.44  -23.801439
 11    5     -4    1     -1    -3    -19   0    -29.53  -23.605516
 -10   -10   -5    -3    -4    0     17    13   -29.43  -23.436626
 13    7     -2    -4    -2    2     7     -12  -29.48  -23.278891
 13    7     -2    -4    -2    2     7     -12  -29.63  -23.123102
 -6    12    6     5     5     0     11    20   -29.52  -22.961254
 -16   -18   -13   -5    -3    0     -18   -6   -29.48  -22.785189
 54    42    14    2     -2    -1    3     13   -29.40  -22.599337
 16    -37   -6    -1    0     0     1     12   -29.56  -22.430876
 -3    8     -2    -2    0     0     1     -11  -29.54  -22.303320
 -8    -31   -4    -4    -3    -3    1     3    -29.61  -22.210470
 17    9     5     4     0     2     7     -19  -29.72  -22.134459
 -40   -12   -15   -8    -5    -8    -19   -7   -29.55  -22.071875
