fx fy fz tx ty tz 
-1.038260 -1.746085 21.536075 -1.034202 -0.392826 -0.106234
-0.679445 -1.565595 21.530053 -0.985450 -0.351179 -0.102857
-0.794862 -1.318166 21.653153 -0.964220 -0.380772 -0.105549
-0.742265 -0.843470 21.581936 -0.967450 -0.407318 -0.107090
-0.867402 -0.413557 21.885910 -0.951515 -0.440199 -0.112793
-1.071373 -0.319875 23.226801 -0.884055 -0.460692 -0.116426
-1.329475 -0.352712 24.751513 -0.826590 -0.453012 -0.114885
-1.437207 -0.222382 25.529506 -0.830271 -0.429341 -0.110317
-1.398102 -0.079760 26.404652 -0.822904 -0.397161 -0.105627
-1.299438 -0.083689 27.443917 -0.786550 -0.378191 -0.100126
-1.128534 -0.165165 28.409660 -0.734705 -0.361884 -0.096984
-1.049280 0.139950 28.802802 -0.749969 -0.350221 -0.096933
-1.104669 0.184166 28.997277 -0.737376 -0.354531 -0.102233
-1.035283 0.019679 29.176246 -0.699019 -0.326664 -0.104986
-1.142131 -0.405053 29.209310 -0.630148 -0.332725 -0.110591
-1.206650 -0.481836 29.082587 -0.616119 -0.367177 -0.119844
-1.285908 -0.673235 28.593374 -0.600383 -0.411626 -0.122002
-1.283548 -0.960492 28.460830 -0.567387 -0.486613 -0.132465
-1.224494 -1.226390 28.310459 -0.516876 -0.541128 -0.135577
-1.005192 -1.184122 27.987265 -0.483645 -0.577338 -0.141572
-0.883777 -1.213973 27.508398 -0.433333 -0.603015 -0.146213
-0.809388 -1.211263 27.151746 -0.405975 -0.594121 -0.150646
-0.912594 -1.325247 26.743376 -0.393553 -0.582554 -0.156329
-1.061925 -1.600614 26.447347 -0.373909 -0.562800 -0.158369
-1.111999 -1.626494 26.196219 -0.374585 -0.551202 -0.158991
-1.202005 -1.507507 25.901199 -0.382815 -0.564785 -0.162221
-1.205236 -1.353526 25.777117 -0.395265 -0.576123 -0.165014
-1.186116 -1.392014 25.994475 -0.380874 -0.591706 -0.168601
-1.213682 -1.286728 26.131409 -0.384584 -0.614967 -0.172992
-1.268770 -1.278127 26.372057 -0.373301 -0.644578 -0.179659
-1.320189 -1.372709 26.806428 -0.359249 -0.657966 -0.184327
-1.392667 -1.460326 27.185781 -0.374496 -0.660418 -0.189621
-1.510006 -1.661211 27.671130 -0.398973 -0.659572 -0.195002
-1.659591 -1.847154 28.160736 -0.428640 -0.666376 -0.200065
-1.612010 -1.875057 28.546060 -0.446830 -0.655271 -0.200058
-1.543571 -1.790689 28.738442 -0.466195 -0.648876 -0.199594
-1.459743 -1.738229 29.065137 -0.472006 -0.643219 -0.199119
-1.430663 -1.661141 29.162980 -0.486090 -0.634182 -0.195745
-1.363129 -1.707933 29.329409 -0.489591 -0.616658 -0.192284
-1.415508 -1.743441 29.414333 -0.496261 -0.618675 -0.191079
-1.403598 -1.810962 29.415919 -0.497391 -0.615718 -0.189317
-1.392554 -1.940712 29.391218 -0.490313 -0.620658 -0.189698
-1.369908 -2.066845 29.344218 -0.478792 -0.629578 -0.190420
-1.355882 -2.130057 29.272820 -0.470988 -0.641444 -0.190485
-1.299686 -2.167989 29.174219 -0.465008 -0.650866 -0.189842
-1.258463 -2.180307 29.135056 -0.460264 -0.655996 -0.188426
-1.213077 -2.121749 29.021354 -0.466666 -0.654141 -0.186407
-1.192641 -2.055810 28.894347 -0.474408 -0.646704 -0.183797
-1.165667 -1.983455 28.759740 -0.482810 -0.639684 -0.183148
-1.190862 -1.913816 28.644944 -0.491223 -0.637131 -0.182736
-1.166240 -1.803432 28.359762 -0.502168 -0.628820 -0.181116
-1.193883 -1.751926 28.203972 -0.494668 -0.637466 -0.181836
-1.165118 -1.735207 27.988047 -0.488357 -0.637452 -0.180681
-1.168069 -1.607490 27.638587 -0.492865 -0.649445 -0.181927
-1.224437 -1.555241 27.334347 -0.488477 -0.666636 -0.184021
-1.246699 -1.585445 27.106128 -0.471513 -0.674028 -0.184486
-1.264221 -1.551223 26.776564 -0.466269 -0.681062 -0.184748
-1.315057 -1.478322 26.358399 -0.462982 -0.693156 -0.184369
-1.289326 -1.385321 25.973283 -0.463743 -0.689275 -0.181292
-1.259682 -1.355531 25.688784 -0.456338 -0.689421 -0.179815
-1.246469 -1.295457 25.439002 -0.454827 -0.686578 -0.176362
-1.224952 -1.206758 25.151065 -0.461126 -0.683219 -0.173088
-1.218126 -1.172034 24.982651 -0.461277 -0.678702 -0.169995
-1.196070 -1.139183 24.813657 -0.464195 -0.670150 -0.166575
-1.211168 -1.137914 24.742099 -0.461005 -0.672920 -0.166280
-1.205889 -1.097873 24.632932 -0.465654 -0.667837 -0.163924
-1.217940 -1.139280 24.612837 -0.458984 -0.670168 -0.163466
-1.232246 -1.155507 24.612801 -0.456946 -0.670883 -0.162800
-1.252125 -1.198328 24.592382 -0.451729 -0.675964 -0.162581
-1.264452 -1.174730 24.589766 -0.456935 -0.675568 -0.161175
-1.256017 -1.193492 24.636750 -0.456964 -0.674386 -0.160449
-1.255699 -1.214842 24.777170 -0.454943 -0.674565 -0.160331
-1.232366 -1.199469 24.768896 -0.460172 -0.664438 -0.157507
-1.213147 -1.145634 24.826138 -0.467832 -0.659833 -0.156932
-1.224813 -1.219806 24.994094 -0.456759 -0.658021 -0.156826
-1.178011 -1.324877 25.212671 -0.439260 -0.649595 -0.156688
-1.164777 -1.236518 25.250509 -0.449400 -0.650877 -0.158509
-1.167223 -1.269572 25.360308 -0.441998 -0.657008 -0.160754
-1.149830 -1.329598 25.521396 -0.431028 -0.657385 -0.162122
-1.158171 -1.426059 25.665918 -0.416515 -0.661671 -0.164790
-1.187774 -1.447826 25.630083 -0.417295 -0.665698 -0.166572
-1.223634 -1.489492 25.576080 -0.422239 -0.669233 -0.167752
-1.261108 -1.651856 25.520514 -0.417401 -0.670143 -0.168204
-1.289510 -1.796149 25.447708 -0.421555 -0.663181 -0.167531
-1.357171 -1.881262 25.244141 -0.436603 -0.663909 -0.168399
-1.380043 -1.909354 25.036086 -0.451575 -0.657395 -0.167797
-1.371938 -2.070300 24.992975 -0.422965 -0.657600 -0.168028
-1.335438 -1.916326 24.751477 -0.417652 -0.656179 -0.167078
-1.277143 -1.674170 24.385454 -0.406409 -0.665572 -0.169029
-1.308400 -1.595964 24.148444 -0.395934 -0.672175 -0.169407
-1.261054 -1.648767 23.962760 -0.388139 -0.669255 -0.170076
-1.306487 -1.672770 23.666624 -0.396883 -0.676696 -0.170474
-1.284196 -1.652060 23.360161 -0.408463 -0.680860 -0.170202
-1.264074 -1.639588 23.169244 -0.404454 -0.688858 -0.169281
-1.217800 -1.602171 23.029650 -0.395076 -0.697271 -0.169179
-1.210680 -1.487003 22.885179 -0.399953 -0.699942 -0.166666
-1.198005 -1.432345 22.817142 -0.403117 -0.696865 -0.163544
-1.182171 -1.429682 22.843375 -0.403576 -0.691776 -0.161752
-1.188948 -1.455789 22.881699 -0.401506 -0.690179 -0.160634
-1.214252 -1.442265 22.917135 -0.406281 -0.686719 -0.158652
-1.216840 -1.443908 22.965876 -0.407946 -0.683336 -0.157838
-1.216339 -1.438885 23.087637 -0.406599 -0.681719 -0.157936
-1.206256 -1.450176 23.210705 -0.400976 -0.683802 -0.159408
-1.185995 -1.417535 23.305399 -0.400485 -0.681466 -0.159811
-1.151289 -1.295879 23.270216 -0.414542 -0.676024 -0.160111
-1.204421 -1.386983 23.465754 -0.395750 -0.682855 -0.161524
-1.213858 -1.493491 23.645234 -0.381229 -0.675824 -0.160515
-1.196378 -1.492435 23.711303 -0.388419 -0.666551 -0.159526
-1.254998 -1.482540 23.786341 -0.403506 -0.669633 -0.159779
-1.262819 -1.581318 23.964361 -0.402570 -0.665409 -0.159184
-1.216204 -1.646470 24.223834 -0.403965 -0.651802 -0.157613
-1.218589 -1.697692 24.384710 -0.408628 -0.649846 -0.157655
-1.244077 -1.646126 24.541394 -0.423628 -0.650792 -0.157677
-1.207634 -1.649981 24.722403 -0.431771 -0.643541 -0.156508
-1.192629 -1.657696 24.970309 -0.437418 -0.641929 -0.156525
-1.188240 -1.663814 25.233415 -0.446898 -0.640120 -0.156813
-1.194343 -1.640338 25.477717 -0.459291 -0.636375 -0.156323
-1.184259 -1.638930 25.799170 -0.464802 -0.631252 -0.156185
-1.177401 -1.673734 26.114860 -0.465598 -0.626936 -0.156629
-1.198482 -1.699354 26.526215 -0.469171 -0.624457 -0.157457
-1.196126 -1.739786 26.911546 -0.471216 -0.618778 -0.158021
-1.185981 -1.733439 27.294224 -0.479283 -0.609625 -0.157425
-1.195362 -1.815382 27.743583 -0.478824 -0.603901 -0.157904
-1.201764 -1.846186 28.087976 -0.489307 -0.587405 -0.156595
-1.206977 -1.886422 28.451475 -0.495289 -0.573924 -0.156617
-1.214512 -1.920286 28.795462 -0.497249 -0.565040 -0.157843
-1.225547 -1.937978 29.105910 -0.501726 -0.558781 -0.159403
-1.233902 -1.929623 29.458858 -0.509165 -0.552219 -0.160089
-1.230740 -1.908986 29.594825 -0.525030 -0.545400 -0.159556
-1.245604 -1.950470 29.858449 -0.531173 -0.545340 -0.161291
-1.214708 -2.013935 30.154337 -0.533206 -0.537009 -0.160885
-1.202912 -2.061510 30.340540 -0.533566 -0.535865 -0.161174
-1.229881 -2.075312 30.563990 -0.535926 -0.536864 -0.160830
-1.282647 -2.145245 30.854060 -0.531897 -0.541712 -0.160858
-1.254760 -2.164527 31.107824 -0.538829 -0.538052 -0.160615
-1.260143 -2.153073 31.392878 -0.552392 -0.545689 -0.161966
-1.239389 -2.164980 31.732549 -0.561752 -0.552819 -0.163314
-1.208889 -2.141664 32.028389 -0.576536 -0.557051 -0.164088
-1.217671 -2.127255 32.266637 -0.591508 -0.561985 -0.165152
-1.258622 -2.065393 32.589675 -0.611021 -0.565783 -0.166703
-1.231051 -2.095005 32.918867 -0.618815 -0.561215 -0.167781
-1.226469 -1.996493 33.266259 -0.635702 -0.559948 -0.168290
-1.217475 -2.006022 33.741007 -0.642796 -0.567560 -0.170386
-1.218805 -2.058552 34.332805 -0.651260 -0.574671 -0.170667
-1.221614 -2.102074 35.012785 -0.660745 -0.591382 -0.172816
-1.249106 -2.146190 35.722959 -0.667704 -0.612907 -0.175575
-1.232602 -2.221112 36.508574 -0.673282 -0.627743 -0.179435
-1.274365 -2.278212 37.307501 -0.687087 -0.640665 -0.183731
-1.310476 -2.402353 38.175294 -0.693076 -0.648995 -0.187373
-1.325093 -2.366456 38.725508 -0.719273 -0.657843 -0.189658
-1.305438 -2.292506 39.232879 -0.743860 -0.670286 -0.190728
-1.314652 -2.338410 39.775411 -0.743973 -0.699490 -0.195267
-1.305287 -2.479854 40.333513 -0.732831 -0.713793 -0.198393
-1.260562 -2.552570 40.693809 -0.735338 -0.732382 -0.203596
-1.205291 -2.469011 40.632428 -0.752868 -0.761298 -0.207635
-1.046109 -2.609013 40.724297 -0.733450 -0.782965 -0.208862
-1.048641 -2.861955 40.784246 -0.694308 -0.836293 -0.214835
-0.860211 -3.004593 40.435754 -0.675136 -0.861316 -0.213890
-0.813081 -2.967913 40.088257 -0.672437 -0.906200 -0.217266
-0.717663 -2.985173 39.693386 -0.664196 -0.926930 -0.218901
-0.847077 -3.138288 39.520144 -0.639501 -0.967901 -0.229128
-0.739284 -2.871358 38.823014 -0.679871 -0.944076 -0.231938
-0.959001 -2.673573 38.196887 -0.688497 -0.994154 -0.242960
-0.957117 -2.593079 37.694610 -0.666134 -0.993299 -0.241262
-0.887778 -2.445318 37.081677 -0.636208 -0.979905 -0.237293
-1.055611 -2.074507 35.960178 -0.645414 -1.005436 -0.236815
-1.109854 -1.636488 34.575276 -0.668341 -0.988160 -0.228350
-1.097996 -1.526185 33.615025 -0.639220 -0.979821 -0.227258
-1.153260 -1.614851 32.721848 -0.588820 -0.981317 -0.224319
-1.125146 -1.470600 31.497159 -0.570256 -0.994948 -0.225698
-1.242380 -1.055394 29.948800 -0.582881 -1.022825 -0.228076
-1.269853 -0.842424 28.453387 -0.557694 -1.050419 -0.240661
-1.185832 -0.841095 27.350712 -0.510726 -1.044590 -0.248841
-1.220198 -0.749973 25.982596 -0.485151 -1.062637 -0.260521
-1.381709 -0.358739 24.541527 -0.492241 -1.112163 -0.273375
-1.428977 -0.537212 23.287017 -0.395619 -1.132085 -0.276543
-1.378668 -0.363940 22.209549 -0.387715 -1.123135 -0.272972
-1.642308 0.178332 20.686704 -0.408198 -1.190314 -0.279478
-1.643120 0.264986 19.499451 -0.380431 -1.187307 -0.270137
-1.370809 0.241042 18.592229 -0.335780 -1.144958 -0.259540
-1.568362 0.140719 17.987430 -0.282330 -1.191082 -0.265539
-1.638437 0.122588 16.985721 -0.252833 -1.176032 -0.256987
-1.666102 0.635970 15.415305 -0.286631 -1.173126 -0.251801
-1.893729 0.684755 14.678026 -0.238741 -1.226703 -0.254714
-1.699570 0.576867 14.031611 -0.177935 -1.191156 -0.242156
-1.585531 0.645613 13.177503 -0.154726 -1.168438 -0.233452
-1.827766 0.620843 12.664698 -0.146256 -1.193069 -0.232766
-1.813834 0.530875 12.151317 -0.131704 -1.150700 -0.218098
-1.766842 0.419500 11.820320 -0.108912 -1.121917 -0.210202
-1.792653 0.422595 11.400356 -0.096126 -1.107148 -0.204395
-1.701061 0.581873 10.935261 -0.102815 -1.067944 -0.196081
-1.827548 0.527012 10.774611 -0.080354 -1.063524 -0.195424
-1.722934 0.302200 10.775513 -0.048936 -1.015708 -0.188079
-1.796139 0.279560 10.763054 -0.051694 -0.993184 -0.179263
-1.848669 0.245363 10.685491 -0.056706 -0.986561 -0.171123
-1.693527 0.163275 10.737670 -0.055819 -0.936062 -0.154344
-1.540945 0.060723 10.973539 -0.046258 -0.909351 -0.148681
-1.567067 0.073600 10.996845 -0.054737 -0.901053 -0.145935
-1.506168 -0.092492 11.314264 -0.036367 -0.870835 -0.141303
-1.566378 -0.238456 11.699051 -0.023149 -0.864222 -0.141215
-1.439469 -0.307436 12.027369 -0.030577 -0.817775 -0.132700
-1.327538 -0.348230 12.299697 -0.038770 -0.791302 -0.126891
-1.275617 -0.518315 12.944565 -0.020624 -0.779075 -0.120166
-1.109678 -0.769601 13.860568 0.016151 -0.751707 -0.109798
-1.041166 -0.954667 14.803655 0.026241 -0.728053 -0.098889
-1.021479 -0.947500 15.514613 -0.018478 -0.710275 -0.092093
-1.017058 -0.960358 16.365925 -0.087597 -0.678022 -0.083726
-0.926038 -1.406583 18.020046 -0.103172 -0.651513 -0.080553
-0.896087 -1.765066 19.658707 -0.124357 -0.621310 -0.075543
-0.939218 -1.996839 21.562060 -0.146208 -0.612511 -0.079387
-0.970693 -1.650175 22.356151 -0.248685 -0.565708 -0.075143
-1.067261 -1.426627 23.779222 -0.327192 -0.524259 -0.080131
-1.212654 -2.057520 26.119255 -0.300695 -0.481365 -0.086779
-1.251440 -2.885586 28.603418 -0.278739 -0.409223 -0.089774
-1.152957 -2.611704 29.170952 -0.425898 -0.325861 -0.082924
-1.628812 -2.493895 30.355887 -0.503677 -0.368736 -0.090230
-1.435501 -3.511303 32.648867 -0.413081 -0.334594 -0.089481
-1.120498 -4.033598 34.259636 -0.393068 -0.274892 -0.086475
-1.123119 -3.716461 34.383140 -0.529937 -0.334674 -0.106458
-1.153270 -3.545923 34.753306 -0.638351 -0.363527 -0.111233
-0.933851 -4.587331 36.477604 -0.542844 -0.397181 -0.126084
-0.630999 -5.125669 37.874751 -0.485232 -0.377185 -0.122960
-0.897052 -4.730973 37.990277 -0.538552 -0.486293 -0.138515
-0.894737 -4.242492 37.827235 -0.611433 -0.485194 -0.131846
-0.647075 -4.591431 38.653391 -0.572788 -0.450600 -0.133050
-0.805171 -5.310797 39.780576 -0.490439 -0.481962 -0.147087
-0.929400 -5.122671 39.665413 -0.538823 -0.520289 -0.156829
-0.926606 -4.765408 39.291550 -0.599131 -0.559956 -0.161059
-0.787143 -4.596260 39.058245 -0.616057 -0.617810 -0.168355
-0.748868 -4.633010 39.227071 -0.590003 -0.674540 -0.173252
-0.675948 -4.404526 38.656970 -0.610763 -0.713073 -0.180027
-0.893285 -3.908951 37.840802 -0.662383 -0.774708 -0.189981
-0.941463 -3.719832 37.359453 -0.655203 -0.819493 -0.201684
-0.826136 -3.711960 37.064028 -0.605034 -0.816696 -0.203254
-1.023393 -3.156491 36.381353 -0.625510 -0.874393 -0.214405
-1.055040 -2.601263 35.590958 -0.642410 -0.874066 -0.213667
-1.209053 -2.332237 35.195947 -0.615274 -0.904857 -0.219760
-1.200908 -2.252078 34.757731 -0.597000 -0.900898 -0.220430
-1.260529 -2.048483 34.130697 -0.645063 -0.896246 -0.218100
-1.383086 -1.790962 33.404292 -0.692957 -0.928047 -0.226410
-1.445580 -1.548661 32.876917 -0.697828 -0.951524 -0.234103
-1.415672 -1.386777 32.560014 -0.660777 -0.961066 -0.237698
-1.357778 -0.922268 31.606195 -0.680746 -0.958478 -0.236728
-1.597411 -0.426932 30.447617 -0.721667 -0.999197 -0.241772
-1.584793 -0.365697 29.794131 -0.701924 -0.990743 -0.240492
-1.467860 -0.737218 29.233198 -0.615774 -0.965695 -0.237172
-1.566144 -0.671191 28.165676 -0.604319 -0.983441 -0.242533
