fx fy fz tx ty tz 
-1.273366 0.322322 26.182255 -0.765162 -1.816859 -0.390875
-1.161733 -0.969468 26.678065 -0.740323 -1.818335 -0.387433
-1.418344 -2.861859 27.088334 -0.542074 -1.728359 -0.350572
-1.835984 -2.664550 24.440068 -0.532771 -1.685252 -0.339870
-1.838976 -2.377386 21.123777 -0.481498 -1.542636 -0.300618
-2.154532 -2.967224 18.476370 -0.356281 -1.466521 -0.278953
-1.893633 -2.921244 16.311442 -0.377741 -1.320970 -0.249680
-2.136037 -2.994679 13.959714 -0.413597 -1.355090 -0.260508
-2.345024 -3.535147 12.083344 -0.412277 -1.278607 -0.255344
-2.369077 -3.907677 11.291646 -0.358189 -1.178397 -0.245064
-2.444204 -3.652008 10.360936 -0.350599 -1.089177 -0.209978
-2.491843 -3.396064 9.983496 -0.381615 -1.072060 -0.192690
-2.315079 -3.297744 10.468588 -0.463217 -1.050092 -0.178570
-2.299696 -3.754774 11.809832 -0.460107 -1.085620 -0.181034
-2.073883 -3.895694 13.095476 -0.528985 -1.107688 -0.187363
-1.792778 -3.705808 13.956823 -0.683400 -1.156057 -0.207464
-1.667849 -3.674479 14.882317 -0.820499 -1.197379 -0.220855
-1.606112 -3.970602 16.278394 -0.867452 -1.202275 -0.220392
-1.485485 -4.340851 17.699676 -0.850154 -1.179517 -0.208726
-1.537079 -4.055255 17.937293 -0.912782 -1.197830 -0.204018
-1.229611 -3.710348 18.052069 -0.968114 -1.137185 -0.188664
-1.304392 -4.076716 18.673982 -0.919429 -1.145149 -0.183619
-1.333853 -4.009204 18.596808 -0.929926 -1.139862 -0.181994
-1.138209 -3.677934 18.270388 -0.972896 -1.106247 -0.184880
-1.365939 -3.592580 17.801146 -0.982657 -1.148619 -0.200470
-1.215220 -3.544112 17.595682 -0.974637 -1.113044 -0.202217
-1.375036 -3.345088 17.329193 -0.984137 -1.133524 -0.210631
-1.464486 -3.258852 17.232743 -0.966338 -1.142155 -0.214909
-1.560937 -3.116454 17.457991 -0.955170 -1.137344 -0.212482
-1.579189 -2.799843 17.706517 -0.992082 -1.134538 -0.211903
-1.448966 -2.715370 18.380269 -1.012273 -1.121932 -0.211764
-1.508556 -2.966531 19.515497 -1.001013 -1.130393 -0.214208
-1.533393 -2.931306 20.702679 -1.021408 -1.134994 -0.218014
-1.560575 -2.736310 21.785956 -1.056864 -1.126074 -0.219765
-1.581341 -2.562174 23.011593 -1.067075 -1.121940 -0.216807
-1.384785 -2.417799 24.592851 -1.066308 -1.094855 -0.205070
-1.306577 -2.402017 26.239741 -1.090311 -1.111897 -0.202312
-1.425719 -2.396141 27.992385 -1.108347 -1.130358 -0.203064
-1.456434 -2.253457 28.823336 -1.119845 -1.114060 -0.201640
-1.555240 -2.190917 30.213240 -1.089867 -1.072799 -0.193138
-1.571320 -2.096561 31.118395 -1.078015 -1.055596 -0.193356
-1.639659 -1.592988 31.497962 -1.146989 -1.048650 -0.192695
-1.653215 -1.687260 32.326200 -1.133482 -1.020321 -0.182740
-1.518104 -2.159459 33.378466 -1.082891 -0.994409 -0.177575
-2.006452 -2.521954 34.359046 -1.055108 -1.049053 -0.178371
-1.366222 -2.306495 34.758500 -1.105833 -0.934953 -0.169158
-1.832144 -1.843997 34.828153 -1.188403 -0.970004 -0.173881
-1.564216 -2.606349 36.501936 -1.084069 -0.868168 -0.158502
-2.439043 -3.134754 37.626278 -1.045630 -0.978111 -0.174038
-2.361605 -2.292719 37.129307 -1.210849 -0.979205 -0.187370
-2.512709 -2.665130 37.892195 -1.181819 -0.922135 -0.169137
-2.558714 -4.124703 40.036472 -1.003604 -0.912811 -0.168362
-2.871211 -3.794350 39.388194 -1.125365 -0.978979 -0.186510
-2.337296 -3.257071 38.982859 -1.242375 -0.873860 -0.181639
-3.123640 -4.029129 39.802765 -1.124886 -0.955924 -0.180734
-2.920278 -4.739099 40.879890 -0.988408 -0.925858 -0.175875
-2.872949 -4.402928 40.400194 -1.017398 -0.896427 -0.161066
