fx fy fz tx ty tz 
-1.036715 -1.307589 34.232924 -0.618301 -0.795975 -0.195132
-0.921663 -1.380652 34.406635 -0.614388 -0.779753 -0.192786
-0.935919 -1.438258 34.424447 -0.610011 -0.789690 -0.197014
-0.921247 -1.461287 34.210658 -0.602956 -0.801781 -0.201790
-0.931756 -1.536980 34.056847 -0.578861 -0.826731 -0.205370
-0.828571 -1.527673 33.708311 -0.561280 -0.839578 -0.205258
-0.864167 -1.535865 33.238208 -0.543581 -0.866516 -0.206942
-0.893750 -1.400357 32.589988 -0.550299 -0.875871 -0.207705
-0.956741 -1.412935 32.111827 -0.535551 -0.895446 -0.211580
-1.009455 -1.327558 31.397373 -0.542824 -0.906728 -0.212222
-0.893070 -1.154351 30.450106 -0.562391 -0.886982 -0.208332
-0.998516 -1.003580 29.605197 -0.551556 -0.907860 -0.213023
-1.011479 -0.689729 28.571091 -0.534976 -0.896568 -0.213885
-1.169851 -0.380641 27.429195 -0.508724 -0.918575 -0.222717
-1.216270 -0.179828 26.467182 -0.500461 -0.918292 -0.224387
-1.305917 -0.025170 25.432526 -0.487257 -0.942448 -0.224993
-1.353423 0.125567 24.373824 -0.467124 -0.971871 -0.224244
-1.268852 0.144721 23.741048 -0.418505 -0.999422 -0.225525
-1.173968 0.272250 22.945802 -0.399690 -1.008298 -0.221820
-1.190637 0.506424 22.008227 -0.410113 -1.017846 -0.221525
-1.260044 0.427686 21.404573 -0.374209 -1.009772 -0.218698
-1.274162 0.421048 20.662540 -0.346151 -0.992289 -0.213720
-1.315659 0.691536 19.565307 -0.352035 -0.998426 -0.212161
-1.314189 0.690645 18.695351 -0.312877 -1.017701 -0.211540
-1.221440 0.595204 17.982215 -0.265610 -1.026453 -0.211015
-1.191688 0.637846 16.808834 -0.244162 -1.052867 -0.210564
-1.222634 0.466326 15.822630 -0.194857 -1.080754 -0.212057
-1.252093 0.572237 14.597163 -0.177444 -1.091911 -0.211400
-1.331750 0.495584 13.198863 -0.130308 -1.112867 -0.209607
-1.340605 0.545292 11.869886 -0.096439 -1.119051 -0.206618
-1.421890 0.173835 10.847761 -0.016059 -1.122724 -0.203856
-1.392503 0.414919 9.101895 -0.028908 -1.093051 -0.195607
-1.537937 0.502001 7.723887 -0.009502 -1.105075 -0.194596
-1.566734 0.361647 6.663945 0.040929 -1.089318 -0.190755
-1.642855 -0.129500 6.060885 0.145465 -1.074891 -0.188728
-1.629988 0.323078 4.501585 0.101373 -1.049423 -0.184253
-1.893485 0.460902 3.291232 0.112398 -1.070089 -0.185556
-1.684824 0.130252 3.025830 0.196874 -1.014698 -0.176623
-1.769806 -0.081698 2.793424 0.261818 -1.019191 -0.173283
-1.544926 0.496488 1.429394 0.201771 -0.958844 -0.154352
