fx fy fz tx ty tz 
-1.137951 -0.624843 2.772596 -0.150750 -0.198921 -0.036465
-1.115778 0.484008 1.862742 -0.304002 -0.167876 -0.026129
-1.124957 0.069289 2.034204 -0.257804 -0.161584 -0.024851
-1.120158 -0.256436 2.271549 -0.211889 -0.152557 -0.022334
-0.916781 -0.007661 2.254738 -0.232001 -0.100688 -0.010591
-1.144150 -0.064678 1.965447 -0.230550 -0.140529 -0.016631
-1.008177 0.159619 2.257993 -0.258145 -0.113089 -0.014003
-1.112045 -0.377610 1.549537 -0.244400 -0.118639 -0.010800
-0.865567 0.018236 2.305852 -0.273396 -0.058838 -0.003087
-0.914513 0.297444 2.348344 -0.322461 -0.051964 -0.000641
-0.786609 0.508607 2.512470 -0.352275 -0.024109 0.000687
-0.897229 -0.009733 1.959228 -0.292487 -0.042724 -0.003167
-0.790606 -0.157709 2.226500 -0.269274 -0.018100 0.000392
-0.835726 -0.328624 2.173873 -0.236853 -0.026058 -0.000089
-0.795602 0.125758 2.603103 -0.291323 -0.004079 0.004005
-0.723864 0.009186 1.788952 -0.298110 0.033340 0.017280
-0.709833 0.284923 2.233938 -0.330980 0.034164 0.017317
-0.670904 0.271653 1.859938 -0.349228 0.066588 0.027636
-0.625365 0.227641 2.058210 -0.340728 0.078294 0.033277
-0.619504 0.225661 2.977267 -0.373455 0.058760 0.038097
-0.462791 -0.360170 5.028601 -0.347432 0.045844 0.042968
-0.265849 -0.701990 7.080064 -0.393783 0.033930 0.046733
-0.205681 -1.125816 9.347618 -0.464007 0.015041 0.045631
-0.305778 -1.845870 12.037608 -0.490063 0.020225 0.045017
-0.447259 -2.254009 14.421011 -0.531335 0.050176 0.041939
-0.768953 -3.180688 15.508304 -0.543102 0.111696 0.041967
-1.130763 -3.694229 16.620772 -0.579229 0.188879 0.037525
-1.501097 -4.387341 16.139026 -0.546885 0.206256 0.038635
-1.669788 -4.751877 15.862048 -0.468273 0.225462 0.040616
-2.016420 -4.247210 13.549046 -0.484733 0.199635 0.028508
-2.581088 -4.469071 11.737744 -0.384351 0.109373 0.015643
-1.905511 -4.457189 9.871182 -0.279154 0.144341 0.020890
-1.589440 -4.121542 7.994608 -0.207726 0.094893 0.027303
-1.464793 -3.224533 5.887970 -0.164606 -0.062585 0.010834
-1.249609 -3.003641 4.111609 -0.009777 -0.120582 0.018311
-0.916083 -2.278335 3.785867 0.112165 -0.182497 0.006442
-1.380833 -1.889140 2.022148 0.210160 -0.341231 -0.019634
-1.086798 -0.977788 1.550663 0.212165 -0.309675 -0.012030
-0.816423 -0.971315 0.935567 0.282959 -0.281876 -0.002591
