EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8  ForceX ForceY ForceZ tauX tawY tayZ Angle_deg TimeStep_ms
 -2    -2    5     -15   6     16    2     -3   2.858 2.184 30.089 -1.758 -0.200 0.541 0
 -2    -2    5     -15   6     16    2     -3   2.859 2.187 30.006 -1.754 -0.201 0.545 0
 -2    -2    5     -15   6     16    2     -3   2.855 2.184 29.912 -1.751 -0.203 0.550 0
 -2    -2    5     -15   6     16    2     -3   2.845 2.185 29.811 -1.748 -0.204 0.556 0
 -16   -19   -8    3     8     7     -5    -10  2.822 2.174 29.700 -1.745 -0.204 0.564 0
 -16   -19   -8    3     8     7     -5    -10  2.790 2.155 29.577 -1.741 -0.205 0.573 0
 -16   -19   -8    3     8     7     -5    -10  2.756 2.127 29.438 -1.738 -0.205 0.582 0
 0     6     19    -3    -11   -1    0     -2   2.726 2.105 29.296 -1.733 -0.204 0.591 0
 0     6     19    -3    -11   -1    0     -2   2.704 2.088 29.143 -1.727 -0.204 0.599 0
 -1    -6    -18   -5    6     -10   -3    1    2.699 2.079 28.981 -1.721 -0.203 0.605 0
 -1    -6    -18   -5    6     -10   -3    1    2.699 2.074 28.800 -1.715 -0.204 0.611 0
 -1    -6    -18   -5    6     -10   -3    1    2.715 2.069 28.604 -1.709 -0.205 0.615 0
 -1    -6    -18   -5    6     -10   -3    1    2.733 2.065 28.399 -1.703 -0.207 0.620 0
 -7    -5    6     -3    -4    2     -3    -5   2.756 2.058 28.187 -1.696 -0.207 0.624 0
 -7    -5    6     -3    -4    2     -3    -5   2.775 2.047 27.964 -1.689 -0.207 0.629 0
 -7    -5    6     -3    -4    2     -3    -5   2.797 2.024 27.730 -1.682 -0.207 0.635 0
 -7    -5    6     -3    -4    2     -3    -5   2.821 2.005 27.502 -1.672 -0.207 0.640 0
 -7    -5    6     -3    -4    2     -3    -5   2.847 1.977 27.259 -1.664 -0.208 0.647 0
 -7    -5    6     -3    -4    2     -3    -5   2.885 1.958 27.013 -1.656 -0.209 0.653 0
 -5    -11   -9    -16   -18   -11   0     0    2.952 1.938 26.756 -1.648 -0.209 0.655 0
 -5    -11   -9    -16   -18   -11   0     0    3.020 1.923 26.502 -1.637 -0.208 0.656 0
 -5    -11   -9    -16   -18   -11   0     0    3.103 1.910 26.251 -1.624 -0.207 0.655 0
 -5    -3    2     -18   -12   -18   -8    -4   3.195 1.890 25.994 -1.611 -0.204 0.653 0
 -5    -3    2     -18   -12   -18   -8    -4   3.274 1.859 25.731 -1.598 -0.202 0.652 0
 5     5     -5    -22   -24   -16   -4    3    3.416 1.684 24.893 -1.568 -0.195 0.651 0
 5     5     -5    -22   -24   -16   -4    3    3.423 1.649 24.748 -1.564 -0.193 0.651 0
 5     5     -5    -22   -24   -16   -4    3    3.430 1.571 24.449 -1.558 -0.189 0.650 0
 -2    2     -6    -3    14    4     1     -2   3.407 1.495 24.147 -1.552 -0.185 0.652 0
 -2    2     -6    -3    14    4     1     -2   3.384 1.422 23.847 -1.545 -0.180 0.650 0
 -2    2     -6    -3    14    4     1     -2   3.356 1.359 23.554 -1.537 -0.175 0.649 0
 -2    2     -6    -3    14    4     1     -2   3.323 1.305 23.256 -1.529 -0.170 0.647 0
 -2    2     -6    -3    14    4     1     -2   3.292 1.266 22.984 -1.517 -0.165 0.644 0
 -3    -12   -26   -35   -30   -9    -1    1    3.257 1.232 22.713 -1.505 -0.161 0.643 0
 0     7     9     9     -1    4     2     -1   3.171 1.184 22.243 -1.484 -0.159 0.648 0
 0     7     9     9     -1    4     2     -1   3.157 1.178 22.177 -1.480 -0.158 0.649 0
 0     7     9     9     -1    4     2     -1   3.099 1.159 21.915 -1.466 -0.157 0.654 0
 -8    -22   -28   -21   -20   -20   -6    -5   3.022 1.154 21.663 -1.449 -0.156 0.662 0
 0     3     -10   -15   -4    -1    -2    -2   2.949 1.154 21.396 -1.433 -0.155 0.670 0
 0     3     -10   -15   -4    -1    -2    -2   2.875 1.160 21.135 -1.415 -0.153 0.677 0
 0     3     -10   -15   -4    -1    -2    -2   2.808 1.161 20.846 -1.400 -0.153 0.683 0
 0     3     -10   -15   -4    -1    -2    -2   2.743 1.152 20.549 -1.386 -0.153 0.688 0
 0     3     -10   -15   -4    -1    -2    -2   2.686 1.138 20.226 -1.375 -0.153 0.693 0
 -1    -14   0     11    14    4     2     3    2.640 1.122 19.898 -1.364 -0.153 0.694 0
 -1    -14   0     11    14    4     2     3    2.593 1.104 19.552 -1.354 -0.152 0.695 0
 -1    -14   0     11    14    4     2     3    2.555 1.083 19.195 -1.344 -0.151 0.694 0
 -1    -14   0     11    14    4     2     3    2.520 1.057 18.847 -1.333 -0.148 0.691 0
 -1    -14   0     11    14    4     2     3    2.487 1.021 18.494 -1.322 -0.146 0.687 0
 -6    -3    1     -8    -4    5     -2    -3   2.452 0.984 18.144 -1.310 -0.144 0.682 0
 2     1     -10   -25   -4    -5    -1    0    2.415 0.941 17.798 -1.298 -0.141 0.676 0
 2     1     -10   -25   -4    -5    -1    0    2.366 0.886 17.368 -1.282 -0.138 0.669 0
 0     6     4     -15   -4    -1    -1    -1   2.314 0.843 17.026 -1.269 -0.137 0.664 0
 0     6     4     -15   -4    -1    -1    -1   2.253 0.798 16.675 -1.256 -0.135 0.659 0
 0     -2    6     16    3     5     1     0    2.182 0.764 16.329 -1.243 -0.133 0.654 0
 0     -2    6     16    3     5     1     0    2.099 0.731 15.979 -1.230 -0.131 0.650 0
 0     -2    6     16    3     5     1     0    2.003 0.705 15.633 -1.215 -0.128 0.647 0
 0     -2    6     16    3     5     1     0    1.901 0.684 15.278 -1.203 -0.125 0.645 0
 -2    -4    -11   -27   -9    0     1     -1   1.786 0.665 14.935 -1.189 -0.124 0.646 0
 -3    0     4     13    -3    -7    -3    0    1.666 0.639 14.572 -1.179 -0.126 0.649 0
 -3    0     4     13    -3    -7    -3    0    1.541 0.614 14.222 -1.167 -0.127 0.653 0
 -3    0     4     13    -3    -7    -3    0    1.428 0.582 13.868 -1.155 -0.127 0.655 0
 -3    0     4     13    -3    -7    -3    0    1.323 0.554 13.528 -1.140 -0.125 0.656 0
 -3    0     4     13    -3    -7    -3    0    1.229 0.529 13.191 -1.124 -0.122 0.655 0
 -4    -7    -5    15    2     -4    0     -5   1.146 0.501 12.855 -1.109 -0.120 0.652 0
 -4    -7    -5    15    2     -4    0     -5   1.072 0.475 12.512 -1.096 -0.118 0.650 0
 -4    -7    -5    15    2     -4    0     -5   1.008 0.440 12.168 -1.084 -0.117 0.646 0
 -2    4     9     10    -1    -5    -4    -4   0.948 0.412 11.827 -1.073 -0.117 0.643 0
 -2    4     9     10    -1    -5    -4    -4   0.895 0.379 11.491 -1.063 -0.117 0.640 0
 -2    4     9     10    -1    -5    -4    -4   0.858 0.339 11.163 -1.048 -0.116 0.634 0
 4     4     13    3     -3    0     -1    4    0.828 0.269 10.842 -1.028 -0.116 0.627 0
 4     4     13    3     -3    0     -1    4    0.803 0.168 10.514 -1.008 -0.116 0.621 0
 4     4     13    3     -3    0     -1    4    0.771 0.116 10.184 -0.997 -0.115 0.626 0
 -6    -6    5     17    25    9     -2    -6   0.759 0.148 9.879 -0.982 -0.117 0.638 0
 0     2     -8    -22   -13   -4    -2    -2   0.843 0.186 9.568 -0.959 -0.122 0.615 0
 0     2     -8    -22   -13   -4    -2    -2   0.949 0.192 9.183 -0.957 -0.127 0.590 0
 0     2     -8    -22   -13   -4    -2    -2   1.027 0.169 8.807 -0.951 -0.130 0.571 0
 0     2     -8    -22   -13   -4    -2    -2   1.080 0.135 8.473 -0.933 -0.128 0.558 0
 0     2     -8    -22   -13   -4    -2    -2   1.087 0.086 8.128 -0.919 -0.123 0.549 0
 -2    3     0     -6    -11   -5    -3    -2   1.014 0.022 7.693 -0.904 -0.120 0.551 0
 -2    3     0     -6    -11   -5    -3    -2   0.939 -0.001 7.446 -0.894 -0.120 0.558 0
 -2    3     0     -6    -11   -5    -3    -2   0.825 -0.018 7.128 -0.880 -0.119 0.566 0
 1     -5    -10   -5    0     -7    -2    2    0.721 -0.065 6.793 -0.870 -0.119 0.573 0
 1     -5    -10   -5    0     -7    -2    2    0.628 -0.148 6.429 -0.866 -0.120 0.578 0
 1     -5    -10   -5    0     -7    -2    2    0.568 -0.218 6.059 -0.862 -0.119 0.578 0
 0     -2    6     10    6     2     -1    -3   0.522 -0.232 5.733 -0.850 -0.119 0.577 0
 0     -2    6     10    6     2     -1    -3   0.488 -0.187 5.443 -0.833 -0.118 0.574 0
 0     -2    6     10    6     2     -1    -3   0.449 -0.128 5.173 -0.812 -0.117 0.572 0
 -1    2     0     -8    -11   1     1     -1   0.398 -0.104 4.916 -0.791 -0.115 0.572 0
 -4    -3    2     20    7     -1    -3    -3   0.331 -0.146 4.638 -0.775 -0.113 0.573 0
