EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8   ActualForce  EstimatedForce
 6     2     -2    -3    -2    -2    0     1    -12.41  -2.345633
 -5    -4    -2    -1    0     0     -2    -2   -12.28  -2.274810
 -5    -4    -2    -1    0     0     -2    -2   -12.27  -2.198296
 20    0     0     -1    0     1     -1    1    -12.22  -2.117829
 -6    -1    -1    -4    -3    -2    -1    -1   -12.30  -2.037206
 -6    -1    -1    -4    -3    -2    -1    -1   -12.20  -1.960087
 6     0     -1    -2    -1    0     -2    -2   -12.22  -1.889228
 6     0     -1    -2    -1    0     -2    -2   -12.08  -1.824881
 -9    -4    -2    -2    0     -2    -1    -4   -11.93  -1.767404
 -9    -4    -2    -2    0     -2    -1    -4   -11.81  -1.717296
 -3    0     -1    0     0     0     -1    -2   -11.90  -1.674837
 -3    0     -1    0     0     0     -1    -2   -11.78  -1.640123
 13    2     -1    0     -1    -2    0     0    -11.98  -1.612891
 0     -1    0     0     -2    0     0     5    -12.04  -1.592806
 0     -1    0     0     -2    0     0     5    -11.88  -1.580166
 -5    0     -1    0     0     -1    -1    -3   -11.74  -1.575608
 -5    0     -1    0     0     -1    -1    -3   -11.73  -1.578513
 -7    -2    0     -1    -3    -1    -2    -1   -11.86  -1.588205
 -4    -1    -1    -1    -1    -1    -1    -2   -11.97  -1.604409
 -4    -1    -1    -1    -1    -1    -1    -2   -11.96  -1.626447
 -8    -3    -2    0     -2    -1    -2    -5   -12.04  -1.653110
 4     1     -1    -1    -1    1     0     3    -11.89  -1.683223
 -3    -2    1     -1    0     -1    -3    -1   -11.65  -1.715726
 -3    -1    0     -2    -1    -1    -1    -2   -11.60  -1.750014
 -1    0     -2    0     -1    0     1     -1   -11.63  -1.784632
 -3    -1    -1    -1    0     -1    0     0    -11.66  -1.817237
 -3    -1    -1    -1    0     -1    0     0    -11.71  -1.845487
 -3    -1    -1    -1    -1    0     0     -2   -11.58  -1.867460
 0     -1    -1    -1    -2    0     -1    1    -11.59  -1.882148
 -2    0     -1    -3    -2    -2    -2    -1   -11.87  -1.888719
 -2    0     -1    -3    -2    -2    -2    -1   -11.79  -1.886712
 -1    -2    0     -1    1     -1    -1    -1   -11.64  -1.875768
 -2    -3    0     -1    0     -1    -1    0    -11.55  -1.856497
 0     0     0     0     0     -3    0     0    -11.57  -1.829955
 -1    0     0     -1    0     -2    -2    -2   -11.58  -1.797110
 -3    -1    -1    -1    0     -1    0     -3   -11.57  -1.759012
 -3    -1    -1    -1    0     -1    0     -3   -11.42  -1.716691
 -1    -1    -1    -1    -1    -1    -2    -1   -11.38  -1.671254
 -2    -1    -1    0     -1    0     -1    -1   -11.44  -1.623380
 0     -2    -1    1     -1    0     -1    1    -11.53  -1.573164
 -1    -2    -1    -1    -1    0     0     -1   -11.46  -1.520192
 0     -1    0     -2    -2    -2    -1    -1   -11.46  -1.464387
 -1    0     0     0     -2    -1    -1    -1   -11.30  -1.406125
 -1    0     -2    -1    -2    -2    -3    0    -11.38  -1.346151
 -1    1     -2    -1    0     -1    0     -2   -11.56  -1.284169
 -1    1     -2    -1    0     -1    0     -2   -11.47  -1.219163
 -1    -1    -2    -1    -2    0     -1    -2   -11.46  -1.150215
 -1    -1    -2    -1    -2    0     -1    -2   -11.41  -1.077026
 -2    -1    -1    -1    0     -3    -1    -1   -11.35  -0.999692
 -1    0     -2    -1    0     1     -2    1    -11.39  -0.918763
 -1    0     -2    -1    0     1     -2    1    -11.20  -0.834648
 -1    0     0     0     -2    0     -1    -1   -11.09  -0.747753
 -1    0     0     0     -2    0     -1    -1   -11.12  -0.659277
 0     -2    -2    -1    0     -1    0     -1   -11.19  -0.571142
 -6    -3    -2    -1    -2    0     -2    -2   -11.44  -0.484289
 2     0     1     -1    -1    -1    -3    0    -11.37  -0.399179
 -4    -2    0     -1    -1    0     -1    -1   -11.35  -0.316634
