EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8  ForceX ForceY ForceZ tauX tawY tayZ 
 -1    13    0     -2    1     -2    -1    0    0.000720 2.465509 1.233188 
 -1    13    0     -2    1     -2    -1    0    0.000798 2.466376 1.233672 
 -1    13    0     -2    1     -2    -1    0    0.000867 2.467345 1.234201 
 -1    13    0     -2    1     -2    -1    0    0.000927 2.468403 1.234770 
 -1    13    0     -2    1     -2    -1    0    0.000979 2.469539 1.235372 
 -1    13    0     -2    1     -2    -1    0    0.001023 2.470743 1.236003 
 -1    13    0     -2    1     -2    -1    0    0.001058 2.472005 1.236657 
 -1    13    0     -2    1     -2    -1    0    0.001087 2.473315 1.237331 
 -1    13    0     -2    1     -2    -1    0    0.001108 2.474662 1.238019 
 -1    13    0     -2    1     -2    -1    0    0.001122 2.476039 1.238718 
 -1    13    0     -2    1     -2    -1    0    0.001130 2.477436 1.239423 
 -1    13    0     -2    1     -2    -1    0    0.001132 2.478846 1.240130 
 -1    13    0     -2    1     -2    -1    0    0.001129 2.480261 1.240837 
 -1    13    0     -2    1     -2    -1    0    0.001121 2.481673 1.241539 
 -1    13    0     -2    1     -2    -1    0    0.001107 2.483077 1.242233 
 -1    13    0     -2    1     -2    -1    0    0.001089 2.484466 1.242917 
 -1    13    0     -2    1     -2    -1    0    0.001068 2.485835 1.243589 
 -1    13    0     -2    1     -2    -1    0    0.001042 2.487178 1.244245 
 -1    13    0     -2    1     -2    -1    0    0.001014 2.488490 1.244884 
 -1    13    0     -2    1     -2    -1    0    0.000982 2.489768 1.245504 
 -1    13    0     -2    1     -2    -1    0    0.000948 2.491008 1.246103 
 -1    13    0     -2    1     -2    -1    0    0.000912 2.492206 1.246680 
 -1    13    0     -2    1     -2    -1    0    0.000874 2.493360 1.247233 
 -1    13    0     -2    1     -2    -1    0    0.000834 2.494466 1.247762 
 -1    13    0     -2    1     -2    -1    0    0.000793 2.495524 1.248265 
 -1    13    0     -2    1     -2    -1    0    0.000751 2.496530 1.248742 
 -1    13    0     -2    1     -2    -1    0    0.000708 2.497485 1.249193 
 -1    13    0     -2    1     -2    -1    0    0.000665 2.498386 1.249617 
 -1    13    0     -2    1     -2    -1    0    0.000621 2.499233 1.250013 
 -1    13    0     -2    1     -2    -1    0    0.000578 2.500026 1.250383 
 -1    13    0     -2    1     -2    -1    0    0.000535 2.500765 1.250725 
 -1    13    0     -2    1     -2    -1    0    0.000492 2.501450 1.251040 
 -1    13    0     -2    1     -2    -1    0    0.000449 2.502080 1.251329 
 -1    13    0     -2    1     -2    -1    0    0.000408 2.502658 1.2
