EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8   ActualForce  EstimatedForce
 0     -10   -1    -1    0     -9    -5    10   -41.44  -24.979774
 10    20    2     3     0     4     20    55   -42.13  -25.320269
 10    20    2     3     0     4     20    55   -42.50  -25.632524
 -65   -5    -3    1     -2    9     -16   3    -42.84  -25.919382
 40    -6    -6    -9    -6    6     -3    11   -43.36  -26.183363
 30    6     2     5     4     11    22    30   -43.93  -26.425327
 -20   5     2     3     7     7     3     -2   -44.26  -26.645792
 -20   5     2     3     7     7     3     -2   -44.42  -26.845127
 45    3     1     -2    -1    20    37    19   -44.65  -27.024828
 -16   -14   -4    -6    -2    2     -28   -6   -44.93  -27.187014
 -16   7     4     9     6     19    -4    -7   -45.42  -27.334478
 88    -6    0     1     0     -13   -18   -16  -45.87  -27.469913
 88    -6    0     1     0     -13   -18   -16  -46.32  -27.594858
 -19   -17   -6    -9    -5    2     8     5    -46.78  -27.710196
 27    -5    -3    -5    -7    -9    8     15   -47.20  -27.816696
 65    4     0     0     -1    -6    -10   14   -47.68  -27.914534
 2     -1    -7    -11   -9    -17   -2    13   -47.99  -28.003534
 2     -1    -7    -11   -9    -17   -2    13   -48.25  -28.083187
 95    -23   -7    -10   -7    -7    -6    -34  -48.76  -28.152588
 95    -23   -7    -10   -7    -7    -6    -34  -49.18  -28.210722
 -38   -14   -5    1     -7    -33   20    25   -49.56  -28.257183
 1     -8    1     5     6     22    -14   0    -50.12  -28.292530
 1     -8    1     5     6     22    -14   0    -50.74  -28.317955
 -117  -2    3     2     1     -5    2     -29  -51.30  -28.334913
 -117  -2    3     2     1     -5    2     -29  -51.60  -28.343903
 -69   -5    -3    1     2     1     10    -7   -52.08  -28.344854
 38    -20   -2    -2    -1    32    -20   -47  -52.61  -28.337681
 -36   16    5     5     0     -21   -3    16   -53.25  -28.322859
 32    5     1     2     0     11    -15   -27  -53.78  -28.300997
 32    5     1     2     0     11    -15   -27  -54.15  -28.272951
 -27   -6    -1    -3    -4    -24   -16   -40  -54.41  -28.239504
 -45   -7    0     6     -1    -33   -5    -26  -54.84  -28.201876
 30    -3    -2    -2    0     4     -9    7    -55.36  -28.160830
 15    -1    -7    -12   -5    14    -18   -10  -55.93  -28.116812
 15    -1    -7    -12   -5    14    -18   -10  -55.85  -28.069941
 -28   2     -5    -2    -4    16    5     9    -55.62  -28.020433
 12    -9    -10   -12   -9    3     -13   -77  -55.21  -27.968355
 -43   18    3     2     7     14    16    30   -54.58  -27.913599
 15    -6    0     0     -5    -12   -13   -22  -54.16  -27.856199
 15    -6    0     0     -5    -12   -13   -22  -53.56  -27.797129
 -4    -5    -1    0     0     7     0     -3   -52.88  -27.737391
 28    1     1     -2    0     -7    9     16   -51.96  -27.677275
 -18   -10   1     3     3     -6    3     -3   -50.56  -27.616713
 36    15    -1    -6    -4    -1    20    33   -48.89  -27.555410
 71    -1    -3    -6    0     15    -14   -29  -47.63  -27.493940
 -87   -5    1     -1    -3    0     -11   -8   -46.51  -27.432938
 85    17    3     6     0     3     18    50   -45.52  -27.373461
 0     11    -2    -6    -4    -12   7     4    -44.37  -27.316168
 0     11    -2    -6    -4    -12   7     4    -42.94  -27.261261
 -36   -3    -1    -2    -2    -5    -11   -14  -41.14  -27.208813
 9     6     -3    -4    -4    -5    -1    0    -39.41  -27.158352
 9     -4    -4    -7    -2    7     9     -7   -37.86  -27.109182
 2     -8    -2    0     -2    -2    -6    -6   -36.25  -27.060595
 2     -8    -2    0     -2    -2    -6    -6   -34.30  -27.011692
 14    1     4     3     4     -9    -2    -3   -32.39  -26.961939
 10    -1    -1    1     -5    -7    -4    -2   -30.88  -26.910471
 -25   -7    -3    1     0     -1    11    -6   -29.13  -26.856535
 17    0     -2    -4    -1    -6    -14   0    -27.47  -26.799799
 17    0     -2    -4    -1    -6    -14   0    -26.31  -26.740534
 5     1     2     0     4     3     -1    5    -25.13  -26.679277
 5     1     2     0     4     3     -1    5    -24.15  -26.615965
 -9    -6    -3    -6    -8    -5    -3    -5   -22.93  -26.549816
 2     1     0     0     5     -1    0     3    -21.76  -26.479437
 -3    0     -2    -4    -2    2     1     -2   -20.82  -26.403551
 -5    -1    1     3     4     4     4     0    -19.85  -26.321039
 -5    -1    1     3     4     4     4     0    -18.80  -26.230827
 -2    -5    -4    -7    -7    -10   -8    -2   -17.75  -26.132090
 3     1     0     -2    -3    -2    0     1    -16.80  -26.024136
 3     1     0     -2    -3    -2    0     1    -15.81  -25.906048
 1     3     1     4     2     4     2     1    -14.92  -25.776861
